counter,value
665,60000.0
666,60000.0
667,60000.0
668,60000.0
669,170.0
670,170.0
671,160.0
672,160.0
673,34000.0
674,37000.0
675,60000.0
676,60000.0
677,59000.0
678,60000.0
679,60000.0
680,60000.0
681,60000.0
682,59000.0
683,44000.0
684,40000.0
685,60000.0
686,60000.0
687,59000.0
688,60000.0
689,60000.0
690,60000.0
691,60000.0
692,60000.0
693,58000.0
694,350.0
695,340.0
696,210.0
697,460.0
698,510.0
699,290.0
700,260.0
701,50000.0
702,50000.0
703,1000.0
704,350.0
705,340.0
706,340.0
707,330.0
708,310.0
709,300.0
710,300.0
711,290.0
712,250.0
713,350.0
714,59000.0
715,60000.0
716,150.0
717,150.0
718,150.0
719,160.0
720,150.0
